transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,event_time,time_since_last_tx_tmp,time_since_last_transaction_imp,hour_of_day,day_of_week,is_weekend,month,txns_1h,amt_24h,uniq_rcv_7d,avg_gap_mins_10
T2068650,2023-11-29T23:43:25.378Z,ACC869422,ACC424361,1275.12,deposit,travel,Tokyo,atm,False,6062.739224776112,2.24,3.0,0.71,UPI,7.126.50.164,D3592149,2023-11-29T23:43:25.378Z,6062.739224776112,6062.739224776112,23,4,0,11,0,0.0,0,49724.125
T1427803,2023-12-08T19:58:23.218Z,ACC189088,ACC327106,581.91,withdrawal,utilities,Dubai,pos,False,,-0.46,3.0,0.71,ACH,154.210.59.50,D6065933,2023-12-08T19:58:23.218Z,,2566.543702108889,19,6,0,12,0,0.0,0,132421.10833333334
T2812952,2023-12-08T14:51:06.184Z,ACC225917,ACC257954,719.3,deposit,entertainment,Singapore,pos,False,1010.2182563711112,1.59,17.0,0.63,card,242.63.217.155,D5230018,2023-12-08T14:51:06.184Z,1010.2182563711112,1010.2182563711112,14,6,0,12,0,0.0,0,213177.5833333333
T1984103,2023-12-18T01:09:48.862Z,ACC250501,ACC168550,476.35,withdrawal,other,Dubai,pos,False,1843.8234811333327,1.62,19.0,0.08,UPI,100.95.102.56,D3792600,2023-12-18T01:09:48.862Z,1843.8234811333327,1843.8234811333327,1,2,0,12,0,0.01,1,110271.11666666668
T518555,2023-11-24T10:10:06.735Z,ACC264541,ACC442648,1331.59,deposit,travel,New York,atm,False,7104.690356764167,0.54,2.0,0.22,card,27.109.208.148,D4925569,2023-11-24T10:10:06.735Z,7104.690356764167,7104.690356764167,10,6,0,11,0,0.0,1,212021.89166666663
T3970533,2023-11-20T19:07:44.700Z,ACC315652,ACC401711,378.46,payment,online,Dubai,mobile,False,6733.128867727778,-0.29,3.0,0.27,wire_transfer,56.14.199.241,D4060718,2023-11-20T19:07:44.700Z,6733.128867727778,6733.128867727778,19,2,0,11,0,0.0,0,94751.67222222222
T1350174,2023-11-11T11:15:16.426Z,ACC737065,ACC249585,1330.11,deposit,grocery,London,web,False,5963.4920506825,1.42,8.0,0.55,wire_transfer,48.18.221.97,D3965820,2023-11-11T11:15:16.426Z,5963.4920506825,5963.4920506825,11,7,1,11,0,0.0,0,64641.09583333333
T4990126,2023-12-12T12:03:06.111Z,ACC431465,ACC313747,40.94,payment,travel,Toronto,pos,False,7119.444443095001,-1.12,6.0,0.27,wire_transfer,5.19.14.62,D5968682,2023-12-12T12:03:06.111Z,7119.444443095001,7119.444443095001,12,3,0,12,0,0.0,0,400295.3333333333
T3874340,2023-12-12T19:35:26.236Z,ACC392119,ACC738232,13.13,transfer,online,Tokyo,mobile,False,5735.454649993056,-0.83,9.0,0.4,wire_transfer,126.59.114.54,D8752927,2023-12-12T19:35:26.236Z,5735.454649993056,5735.454649993056,19,3,0,12,0,0.0,0,94602.11666666664
T548173,2023-12-08T06:43:43.729Z,ACC243861,ACC232983,203.33,payment,grocery,Tokyo,web,True,1363.7252899902778,-0.07,17.0,0.89,UPI,66.211.233.21,D6551423,2023-12-08T06:43:43.729Z,1363.7252899902778,1363.7252899902778,6,6,0,12,0,0.0,0,66118.00416666667
T4484799,2023-12-10T10:39:26.557Z,ACC350915,ACC501720,328.04,withdrawal,retail,New York,web,True,5748.789111196388,-1.1,13.0,0.97,wire_transfer,200.136.193.171,D2766743,2023-12-10T10:39:26.557Z,5748.789111196388,5748.789111196388,10,1,1,12,0,0.0,0,164743.83333333334
T1126604,2023-12-27T14:22:13.126Z,ACC643623,ACC554113,238.36,payment,utilities,Toronto,web,False,7872.106761640833,-0.84,7.0,0.81,wire_transfer,181.219.15.202,D2797940,2023-12-27T14:22:13.126Z,7872.106761640833,7872.106761640833,14,4,0,12,0,0.0,0,26793.1
T4168866,2023-11-16T09:13:31.256Z,ACC820156,ACC469301,769.0,deposit,grocery,Berlin,atm,False,-1016.1029610444444,-2.02,6.0,0.14,ACH,133.196.121.132,D1669101,2023-11-16T09:13:31.256Z,1016.1029610444444,1016.1029610444444,9,5,0,11,0,0.0,0,87494.58333333334
T3800487,2023-12-24T06:10:40.717Z,ACC662462,ACC635512,196.42,withdrawal,utilities,New York,web,False,8384.683844028888,-1.05,18.0,0.07,UPI,235.202.126.139,D6440035,2023-12-24T06:10:40.717Z,8384.683844028888,8384.683844028888,6,1,1,12,0,0.0,0,55643.68611111112
T2356760,2023-12-12T23:21:20.884Z,ACC841462,ACC991561,0.01,withdrawal,travel,Toronto,mobile,False,1552.1767251052777,-1.0,6.0,0.36,wire_transfer,120.148.141.132,D6269549,2023-12-12T23:21:20.884Z,1552.1767251052777,1552.1767251052777,23,3,0,12,0,0.0,0,131840.93333333332
T867051,2023-12-11T08:01:51.198Z,ACC478522,ACC145030,237.75,withdrawal,utilities,Singapore,pos,False,2893.3742260352774,1.08,7.0,0.86,UPI,92.20.158.200,D7330406,2023-12-11T08:01:51.198Z,2893.3742260352774,2893.3742260352774,8,2,0,12,0,0.0,1,48034.314814814825
T267784,2023-12-01T00:06:09.418Z,ACC929899,ACC518900,45.88,transfer,travel,Berlin,pos,False,,-0.03,17.0,0.51,wire_transfer,180.51.184.60,D7858387,2023-12-01T00:06:09.418Z,,2566.543702108889,0,6,0,12,0,0.0,0,73765.4
T3887991,2023-12-29T07:15:59.374Z,ACC566194,ACC656445,1175.38,deposit,entertainment,Tokyo,mobile,True,7521.511182107777,-0.85,15.0,0.03,UPI,81.36.149.177,D3237480,2023-12-29T07:15:59.374Z,7521.511182107777,7521.511182107777,7,6,0,12,0,0.0,0,50083.93148148149
T4254551,2023-11-27T06:43:48.174Z,ACC935907,ACC478172,0.01,withdrawal,other,Dubai,web,False,276.86944431638886,-0.27,8.0,0.72,UPI,67.150.103.42,D7774065,2023-11-27T06:43:48.174Z,276.86944431638886,276.86944431638886,6,2,0,11,0,0.0,0,101120.0
T1303608,2023-12-22T14:53:18.548Z,ACC118053,ACC582680,1878.53,deposit,grocery,Singapore,pos,False,430.2752232055556,0.11,17.0,0.94,ACH,113.31.254.253,D7916479,2023-12-22T14:53:18.548Z,430.2752232055556,430.2752232055556,14,6,0,12,0,0.0,0,75232.67499999999
T2004309,2023-11-11T04:51:05.072Z,ACC367833,ACC301716,214.93,withdrawal,entertainment,London,atm,False,5210.477088485556,0.33,12.0,0.95,ACH,14.64.223.33,D1860051,2023-11-11T04:51:05.072Z,5210.477088485556,5210.477088485556,4,7,1,11,0,0.0,0,159526.45
T3095209,2023-12-20T05:56:50.806Z,ACC478272,ACC266513,93.57,payment,retail,New York,mobile,False,5447.710098860555,0.77,6.0,0.03,ACH,254.222.133.244,D2015338,2023-12-20T05:56:50.806Z,5447.710098860555,5447.710098860555,5,4,0,12,0,0.0,0,3952.533333333333
T3934325,2023-11-18T02:47:40.264Z,ACC649408,ACC405145,1173.21,deposit,other,New York,atm,False,5127.322335952223,0.89,12.0,0.56,ACH,32.162.251.160,D5866083,2023-11-18T02:47:40.264Z,5127.322335952223,5127.322335952223,2,7,1,11,0,0.0,0,45035.88148148148
T1899156,2023-12-04T07:27:40.271Z,ACC633536,ACC964973,581.3,deposit,travel,Tokyo,web,False,,-1.13,14.0,0.14,ACH,127.26.243.78,D7253582,2023-12-04T07:27:40.271Z,,2566.543702108889,7,2,0,12,0,0.0,0,406894.0
T3540605,2023-12-14T22:23:53.465Z,ACC641626,ACC576057,13.83,transfer,restaurant,London,pos,False,3900.564165098056,-0.25,3.0,0.44,UPI,64.35.8.101,D2936364,2023-12-14T22:23:53.465Z,3900.564165098056,3900.564165098056,22,5,0,12,0,0.0,0,81971.81666666668
T1937730,2023-12-03T05:31:47.757Z,ACC767520,ACC649263,17.83,transfer,entertainment,New York,pos,True,955.1609178597224,-1.25,10.0,0.16,UPI,110.100.58.165,D7259038,2023-12-03T05:31:47.757Z,955.1609178597224,955.1609178597224,5,1,1,12,0,0.0,0,63828.78888888889
T4167268,2023-12-11T19:55:42.616Z,ACC524145,ACC208581,43.44,transfer,travel,Singapore,mobile,False,799.4684182694444,0.53,13.0,0.78,UPI,91.116.44.69,D1825240,2023-12-11T19:55:42.616Z,799.4684182694444,799.4684182694444,19,2,0,12,0,0.0,0,40625.846666666665
T4661844,2023-11-11T18:10:44.000Z,ACC193141,ACC232579,424.4,withdrawal,restaurant,London,web,False,-914.0774916611113,0.46,20.0,0.0,wire_transfer,239.52.212.143,D3417999,2023-11-11T18:10:44.000Z,914.0774916611113,914.0774916611113,18,7,1,11,0,0.0,1,86374.725
T3933415,2023-12-23T10:10:20.183Z,ACC965463,ACC625656,14.86,transfer,restaurant,New York,mobile,False,8048.9780871777775,0.02,7.0,0.87,wire_transfer,248.38.250.63,D3584619,2023-12-23T10:10:20.183Z,8048.9780871777775,8048.9780871777775,10,7,1,12,0,0.0,0,200788.2083333333
T601779,2023-12-25T15:05:05.247Z,ACC887563,ACC879153,13.03,payment,online,New York,pos,False,,0.26,7.0,0.24,wire_transfer,232.156.155.148,D9294281,2023-12-25T15:05:05.247Z,,2566.543702108889,15,2,0,12,0,0.0,0,93545.33333333334
T3839441,2023-12-06T13:18:45.670Z,ACC816075,ACC450050,1913.46,deposit,grocery,Tokyo,atm,False,5752.997073677223,0.05,9.0,0.83,UPI,149.193.73.27,D3999570,2023-12-06T13:18:45.670Z,5752.997073677223,5752.997073677223,13,4,0,12,0,0.0,1,87537.71666666667
T4736412,2023-12-20T02:25:02.501Z,ACC574962,ACC293780,247.97,withdrawal,entertainment,London,mobile,False,2107.608399852778,0.73,16.0,0.41,UPI,204.55.206.34,D5648432,2023-12-20T02:25:02.501Z,2107.608399852778,2107.608399852778,2,4,0,12,0,0.0,0,87143.83333333333
T4503872,2023-11-14T14:09:14.649Z,ACC569704,ACC977001,565.73,withdrawal,grocery,London,pos,False,6152.067307038055,1.02,3.0,0.27,UPI,26.196.128.192,D8915466,2023-11-14T14:09:14.649Z,6152.067307038055,6152.067307038055,14,3,0,11,0,0.0,0,54608.11
T2978038,2023-12-30T21:24:05.711Z,ACC529539,ACC282679,972.65,deposit,grocery,New York,web,True,5884.212660681666,0.61,3.0,0.35,wire_transfer,101.168.252.209,D2079377,2023-12-30T21:24:05.711Z,5884.212660681666,5884.212660681666,21,7,1,12,0,0.0,0,109863.75833333332
T456634,2023-11-22T01:05:42.902Z,ACC466497,ACC553062,480.15,withdrawal,entertainment,London,mobile,False,,0.99,9.0,0.83,wire_transfer,165.254.146.123,D1236598,2023-11-22T01:05:42.902Z,,2566.543702108889,1,4,0,11,0,0.0,0,89159.24166666667
T3210329,2023-11-17T06:56:48.817Z,ACC959703,ACC231395,11.58,transfer,travel,Toronto,atm,False,1439.409682996389,1.42,16.0,0.91,ACH,168.92.193.25,D9967728,2023-11-17T06:56:48.817Z,1439.409682996389,1439.409682996389,6,6,0,11,0,0.0,0,66754.64666666667
T2854634,2023-12-18T21:03:04.378Z,ACC700463,ACC773822,633.51,withdrawal,online,London,pos,False,,1.93,19.0,0.55,card,75.157.240.220,D9987184,2023-12-18T21:03:04.378Z,,2566.543702108889,21,2,0,12,0,0.0,0,109917.16666666669
T2154161,2023-11-17T19:23:55.039Z,ACC629642,ACC544866,1413.0,deposit,online,London,pos,False,7506.652967583889,-0.58,19.0,0.74,ACH,243.47.242.33,D8401435,2023-11-17T19:23:55.039Z,7506.652967583889,7506.652967583889,19,6,0,11,0,0.0,1,88388.93000000001
T3427349,2023-11-16T08:02:31.881Z,ACC732635,ACC847343,18.52,payment,entertainment,Singapore,web,False,1167.964987877222,1.64,20.0,0.78,card,219.38.205.208,D5639010,2023-11-16T08:02:31.881Z,1167.964987877222,1167.964987877222,8,5,0,11,0,0.0,0,69913.88
T845961,2023-11-24T10:08:18.487Z,ACC841034,ACC860985,22.96,payment,utilities,Sydney,atm,False,454.6732829013889,1.43,17.0,0.72,UPI,151.134.193.215,D6478036,2023-11-24T10:08:18.487Z,454.6732829013889,454.6732829013889,10,6,0,11,0,0.0,1,54780.25714285714
T2079442,2023-11-30T09:51:13.764Z,ACC345935,ACC985103,31.15,payment,utilities,Singapore,atm,False,7874.137320671111,1.38,5.0,0.71,wire_transfer,26.24.57.6,D1303338,2023-11-30T09:51:13.764Z,7874.137320671111,7874.137320671111,9,5,0,11,0,0.0,0,89044.08333333334
T1441594,2023-12-19T06:00:31.351Z,ACC165187,ACC472355,8.88,transfer,utilities,Berlin,pos,False,3119.5459516705555,-1.16,9.0,0.25,wire_transfer,133.104.25.52,D2851056,2023-12-19T06:00:31.351Z,3119.5459516705555,3119.5459516705555,6,3,0,12,0,0.0,1,104717.04444444446
T808005,2023-11-28T05:56:16.457Z,ACC984441,ACC468276,93.53,payment,restaurant,Singapore,pos,False,2165.3084042191667,0.49,3.0,0.59,ACH,16.15.229.12,D1645135,2023-11-28T05:56:16.457Z,2165.3084042191667,2165.3084042191667,5,3,0,11,0,0.0,0,46037.24814814815
T2616163,2023-11-20T20:24:06.852Z,ACC477148,ACC563165,0.01,withdrawal,travel,Sydney,mobile,False,4859.740042557221,0.55,7.0,0.46,wire_transfer,222.7.19.127,D6485044,2023-11-20T20:24:06.852Z,4859.740042557221,4859.740042557221,20,2,0,11,0,0.0,0,137959.23333333334
T2312011,2023-11-19T21:13:37.350Z,ACC341338,ACC284137,429.6,withdrawal,restaurant,New York,atm,False,4732.3432688622215,0.61,1.0,0.44,UPI,48.154.90.180,D5930565,2023-11-19T21:13:37.350Z,4732.3432688622215,4732.3432688622215,21,1,1,11,0,0.0,0,52800.85833333334
T4080129,2023-11-19T08:50:33.137Z,ACC946849,ACC352432,163.39,payment,online,Toronto,web,False,3237.848641400556,0.96,1.0,0.82,wire_transfer,225.67.206.77,D3243123,2023-11-19T08:50:33.137Z,3237.848641400556,3237.848641400556,8,1,1,11,0,0.0,0,60806.85
T2803647,2023-11-14T09:07:26.824Z,ACC613788,ACC913307,8.76,transfer,travel,Berlin,atm,False,1681.6159371841668,-0.26,15.0,0.08,UPI,66.244.174.153,D9506842,2023-11-14T09:07:26.824Z,1681.6159371841668,1681.6159371841668,9,3,0,11,0,0.0,0,219262.26666666663
T4402228,2023-11-14T05:39:09.558Z,ACC310577,ACC135281,970.35,deposit,other,New York,pos,False,602.6595553011111,-1.66,18.0,0.79,UPI,132.127.223.66,D3999193,2023-11-14T05:39:09.558Z,602.6595553011111,602.6595553011111,5,3,0,11,0,0.0,0,45481.97666666667
T3063064,2023-11-22T10:07:28.335Z,ACC964200,ACC373836,558.59,withdrawal,travel,Toronto,mobile,False,-636.2497722208333,-0.18,5.0,0.18,wire_transfer,136.135.171.33,D5035348,2023-11-22T10:07:28.335Z,636.2497722208333,636.2497722208333,10,4,0,11,0,0.0,0,131950.8
T1483397,2023-12-10T16:04:19.982Z,ACC857255,ACC360478,2.03,transfer,retail,Berlin,pos,False,2209.0227648225,0.8,20.0,0.48,ACH,180.130.150.134,D8972346,2023-12-10T16:04:19.982Z,2209.0227648225,2209.0227648225,16,1,1,12,0,0.0,1,64749.69000000002
T4704056,2023-12-28T00:08:41.278Z,ACC959914,ACC151138,88.79,payment,grocery,Singapore,web,False,5605.228055184167,0.18,7.0,0.81,UPI,22.143.24.54,D3497450,2023-12-28T00:08:41.278Z,5605.228055184167,5605.228055184167,0,5,0,12,0,0.0,0,78532.88333333333
T3459879,2023-12-26T11:25:16.919Z,ACC223731,ACC929393,9.39,transfer,travel,Singapore,web,False,2528.3608960375,-1.89,9.0,0.07,ACH,1.67.247.57,D7978771,2023-12-26T11:25:16.919Z,2528.3608960375,2528.3608960375,11,3,0,12,0,0.0,0,45260.26428571429
